case,scenario,budget,appreciation,spend_fraction,binding,shadow_price_up,shadow_price_down,points_per_1pct_budget_up,points_per_1pct_budget_down,appreciation_at_minus_5pct,appreciation_at_plus_5pct
Beerwiser,Base case,300000.0,65.71158585873061,0.9999999999997248,True,0.0004800849928992,0.0001760470345569,1.440254978697857,0.5281411036709031,63.0708803403761,72.9128607522199
Beerwiser,Optimistic,300000.0,65.95490722501454,0.9999999999993372,True,0.000179251567653,0.0001192227641797,0.5377547029590033,0.3576682925393527,64.16656576231777,68.64368073980955
Beerwiser,Pessimistic,300000.0,83.33333333333333,1.0,True,7.317070723523974e-05,3.656467276968935e-05,0.2195121217057192,0.109694018309068,82.78486324178799,84.43089394186192
Refugee,Base case,6469004.0,96.78526296184616,0.9999999999977828,True,3.845512945093248e-06,2.7867874325809434e-05,0.2487663862386,1.8027739048515847,87.77139343758824,98.02909489303916
Refugee,Labour optimistic,6469004.0,99.9228047967924,0.9993456116662024,True,2.386617850153774e-07,3.1263263845814822e-06,0.0154390404191161,0.2022421788716314,98.91159390243423,99.999999998888
Refugee,Labour pessimistic,6469004.0,76.9930604653525,1.0,True,1.784080591217987e-05,2.01195322934764e-05,1.1541224480911525,1.30153334884628,70.4853937211211,82.76367270580826
IZZ,Base case,100.0,69.1904728172757,1.0,True,0.0014518251519689,0.0014540901789587,0.0014518251519689,0.0014540901789587,69.18320236638091,69.19773194303555
IZZ,Optimistic,100.0,69.19072165342577,1.0000000000000002,True,0.0014253318362307,0.0014259962220648,0.0014253318362307,0.0014259962220648,69.18359167231544,69.19784831260692
IZZ,Pessimistic,100.0,61.62763403081765,1.0,True,0.1810833708616414,0.2170798362534185,0.1810833708616414,0.2170798362534185,60.54223484955056,62.53305088512586
